Player,Age,Team,GPPred,FSPred,ValPred,Conf,Div
Adam Pelech,29,NYI,64,0.7,1.66,East,Metro
Ryan Pulock,29,NYI,66,0.019,0.05,East,Metro
Alexander Romanov,24,NYI,69,0.16,0.41,East,Metro
Ilya Sorokin,28,NYI,63,1.083,2.53,East,Metro
Semyon Varlamov,35,NYI,44,0.248,0.4,East,Metro
Rasmus Asplund,26,FLA,56,-0.531,-1.1,East,Atlantic
Aleksander Barkov,28,FLA,66,1.408,3.44,East,Atlantic
Sam Bennett,27,FLA,63,0.427,1,East,Atlantic
Sergei Bobrovsky,35,FLA,53,-0.058,-0.11,East,Atlantic
Nick Cousins,30,FLA,64,-0.453,-1.07,East,Atlantic
Aaron Ekblad,27,FLA,61,0.261,0.59,East,Atlantic
Oliver Ekman-Larsson,32,FLA,54,-0.88,-1.76,East,Atlantic
Casey Fitzgerald,26,FLA,46,-0.741,-1.26,East,Atlantic
Gustav Forsling,27,FLA,71,1.125,2.96,East,Atlantic
Jonah Gadjovich,25,FLA,49,-0.606,-1.1,East,Atlantic
Dmitry Kulikov,33,FLA,60,-0.267,-0.59,East,Atlantic
William Lockwood,25,FLA,38,-0.807,-1.14,East,Atlantic
Ryan Lomberg,29,FLA,64,-0.368,-0.87,East,Atlantic
Steven Lorentz,27,FLA,66,-0.477,-1.17,East,Atlantic
Anton Lundell,22,FLA,66,0.305,0.75,East,Atlantic
Eetu Luostarinen,25,FLA,71,0.027,0.07,East,Atlantic
Josh Mahura,25,FLA,67,0.109,0.27,East,Atlantic
Niko Mikkola,27,FLA,66,-0.257,-0.63,East,Atlantic
Brandon Montour,29,FLA,69,0.299,0.76,East,Atlantic
Sam Reinhart,28,FLA,71,0.952,2.5,East,Atlantic
Evan Rodrigues,30,FLA,65,0.004,0.01,East,Atlantic
Anthony Stolarz,30,FLA,42,0.067,0.1,East,Atlantic
Matthew Tkachuk,26,FLA,75,1.865,5.18,East,Atlantic
Carter Verhaeghe,28,FLA,73,0.998,2.7,East,Atlantic
Colin White,27,FLA,57,-0.456,-0.96,East,Atlantic
Tyson Barrie,32,NSH,66,-0.393,-0.96,West,Central
Alexandre Carrier,27,NSH,57,0.383,0.81,West,Central
Dante Fabbro,25,NSH,67,0.154,0.38,West,Central
Denis Gurianov,26,NSH,62,-0.336,-0.77,West,Central
Roman Josi,33,NSH,63,0.3,0.7,West,Central
Kevin Lankinen,28,NSH,46,0.074,0.13,West,Central
Jeremy Lauzon,26,NSH,61,-0.542,-1.22,West,Central
Ryan McDonagh,34,NSH,64,0.411,0.97,West,Central
Thomas Novak,26,NSH,56,0.161,0.33,West,Central
Gustav Nyquist,34,NSH,57,-0.046,-0.1,West,Central
Ryan O'Reilly,32,NSH,58,0.1,0.21,West,Central
Juuse Saros,28,NSH,65,0.764,1.84,West,Central
Luke Schenn,34,NSH,61,0.139,0.31,West,Central
Colton Sissons,30,NSH,67,-0.357,-0.89,West,Central
Yakov Trenin,27,NSH,67,-0.239,-0.59,West,Central
Noel Acciari,32,PIT,57,-0.413,-0.87,East,Metro
Jeff Carter,39,PIT,62,-0.456,-1.05,East,Metro
Sidney Crosby,36,PIT,68,1.085,2.73,East,Metro
Lars Eller,34,PIT,64,-0.507,-1.2,East,Metro
Ryan Graves,28,PIT,71,0.668,1.76,East,Metro
Jake Guentzel,29,PIT,71,1.266,3.33,East,Metro
Vinnie Hinostroza,29,PIT,48,-0.283,-0.5,East,Metro
Tristan Jarry,28,PIT,57,0.538,1.14,East,Metro
Andreas Johnsson,29,PIT,44,-0.469,-0.76,East,Metro
Erik Karlsson,33,PIT,66,0.057,0.14,East,Metro
Kris Letang,36,PIT,58,-0.214,-0.46,East,Metro
Evgeni Malkin,37,PIT,63,0.557,1.3,East,Metro
Alex Nedeljkovic,28,PIT,45,-0.306,-0.51,East,Metro
Drew O'Connor,25,PIT,50,-0.438,-0.81,East,Metro
Marcus Pettersson,27,PIT,66,0.306,0.75,East,Metro
Rem Pitlick,26,PIT,56,-0.14,-0.29,East,Metro
Rickard Rakell,30,PIT,69,0.429,1.1,East,Metro
Chad Ruhwedel,33,PIT,55,-0.308,-0.63,East,Metro
Bryan Rust,31,PIT,66,0.382,0.93,East,Metro
Reilly Smith,32,PIT,66,0.422,1.03,East,Metro
Craig Anderson,42,BUF,41,-0.416,-0.63,East,Atlantic
Jacob Bryson,26,BUF,57,-0.721,-1.52,East,Atlantic
Kale Clague,25,BUF,49,-0.453,-0.82,East,Atlantic
Connor Clifton,28,BUF,66,-0.12,-0.29,East,Atlantic
Eric Comrie,28,BUF,39,-0.134,-0.19,East,Atlantic
Dylan Cozens,22,BUF,74,0.586,1.61,East,Atlantic
Rasmus Dahlin,23,BUF,73,0.546,1.48,East,Atlantic
Zemgus Girgensons,30,BUF,63,-0.434,-1.01,East,Atlantic
Jordan Greenway,26,BUF,59,-0.371,-0.81,East,Atlantic
Erik Johnson,35,BUF,60,0.182,0.4,East,Atlantic
Henri Jokiharju,24,BUF,60,-0.194,-0.43,East,Atlantic
Tyson Jost,25,BUF,65,-0.418,-1.01,East,Atlantic
Peyton Krebs,23,BUF,65,-0.303,-0.73,East,Atlantic
Ukko-Pekka Luukkonen,24,BUF,45,0.064,0.11,East,Atlantic
Ilya Lyubushkin,29,BUF,64,-0.034,-0.08,East,Atlantic
Casey Mittelstadt,25,BUF,66,0.056,0.14,East,Atlantic
Kyle Okposo,35,BUF,62,-0.238,-0.55,East,Atlantic
Victor Olofsson,28,BUF,68,0.577,1.45,East,Atlantic
Mattias Samuelsson,23,BUF,62,0.687,1.58,East,Atlantic
Jeff Skinner,31,BUF,72,1.067,2.85,East,Atlantic
Riley Stillman,25,BUF,54,-0.406,-0.81,East,Atlantic
Tage Thompson,26,BUF,75,1.549,4.3,East,Atlantic
Alex Tuch,27,BUF,69,1.032,2.64,East,Atlantic
Drake Batherson,25,OTT,67,0.575,1.43,East,Atlantic
Thomas Chabot,27,OTT,62,0.115,0.26,East,Atlantic
Jakob Chychrun,25,OTT,59,0.218,0.48,East,Atlantic
Dylan Gambrell,27,OTT,58,-0.647,-1.39,East,Atlantic
Claude Giroux,36,OTT,69,0.645,1.65,East,Atlantic
Travis Hamonic,33,OTT,60,0.106,0.24,East,Atlantic
Mathieu Joseph,26,OTT,59,-0.279,-0.61,East,Atlantic
Mark Kastelic,24,OTT,55,-0.433,-0.88,East,Atlantic
Joonas Korpisalo,29,OTT,50,-0.341,-0.63,East,Atlantic
Zack MacEwen,27,OTT,58,-0.728,-1.56,East,Atlantic
